State,Year
Montana,2005
Nebraska,2005
Nevada,2005
New Hampshire,2005
New Jersey,2005
New Mexico,2005
New York,2005
North Carolina,2005
North Dakota,2005
Ohio,2005
Oklahoma,2005
Oregon,2005
Pennsylvania,2005
Rhode Island,2005
South Carolina,2005
South Dakota,2005
Tennessee,2005
Texas,2005
Utah,2005
Vermont,2005
Virginia,2005
Washington,2005
West Virginia,2005
Wisconsin,2005
Wyoming,2005
Alabama,2006
Alaska,2006
Arizona,2006
Arkansas,2006
California,2006
Colorado,2006
Connecticut,2006
Delaware,2006
Florida,2006
Georgia,2006
Hawaii,2006
Idaho,2006
Illinois,2006
Indiana,2006
Iowa,2006
Kansas,2006
Kentucky,2006
Louisiana,2006
Maine,2006
Maryland,2006
Massachusetts,2006
Michigan,2006
Minnesota,2006
Mississippi,2006
Missouri,2006
Montana,2006
Nebraska,2006
Nevada,2006
New Hampshire,2006
New Jersey,2006
New Mexico,2006
New York,2006
North Carolina,2006
North Dakota,2006
Ohio,2006
Oklahoma,2006
Oregon,2006
Pennsylvania,2006
Rhode Island,2006
South Carolina,2006
South Dakota,2006
Tennessee,2006
Texas,2006
Utah,2006
Vermont,2006
Virginia,2006
Washington,2006
West Virginia,2006
Wisconsin,2006
Wyoming,2006
Alabama,2007
Alaska,2007
Arizona,2007
Arkansas,2007
California,2007
Colorado,2007
Connecticut,2007
Delaware,2007
Florida,2007
Georgia,2007
Hawaii,2007
Idaho,2007
Illinois,2007
Indiana,2007
Iowa,2007
Kansas,2007
Kentucky,2007
Louisiana,2007
Maine,2007
Maryland,2007
Massachusetts,2007
Michigan,2007
Minnesota,2007
Mississippi,2007
Missouri,2007
Montana,2007
Nebraska,2007
Nevada,2007
New Hampshire,2007
New Jersey,2007
New Mexico,2007
New York,2007
North Carolina,2007
North Dakota,2007
Ohio,2007
Oklahoma,2007
Oregon,2007
Pennsylvania,2007
Rhode Island,2007
South Carolina,2007
South Dakota,2007
Tennessee,2007
Texas,2007
Utah,2007
Vermont,2007
Virginia,2007
Washington,2007
West Virginia,2007
Wisconsin,2007
Wyoming,2007
Alabama,2008
Alaska,2008
Arizona,2008
Arkansas,2008
California,2008
Colorado,2008
Connecticut,2008
Delaware,2008
Florida,2008
Georgia,2008
Hawaii,2008
Idaho,2008
Illinois,2008
Indiana,2008
Iowa,2008
Kansas,2008
Kentucky,2008
Louisiana,2008
Maine,2008
Maryland,2008
Massachusetts,2008
Michigan,2008
Minnesota,2008
Mississippi,2008
Missouri,2008
Montana,2008
Nebraska,2008
Nevada,2008
New Hampshire,2008
New Jersey,2008
New Mexico,2008
New York,2008
North Carolina,2008
North Dakota,2008
Ohio,2008
Oklahoma,2008
Oregon,2008
Pennsylvania,2008
Rhode Island,2008
South Carolina,2008
South Dakota,2008
Tennessee,2008
Texas,2008
Utah,2008
Vermont,2008
Virginia,2008
Washington,2008
West Virginia,2008
Wisconsin,2008
Wyoming,2008
Alabama,2009
Alaska,2009
Arizona,2009
Arkansas,2009
California,2009
Colorado,2009
Connecticut,2009
Delaware,2009
Florida,2009
Georgia,2009
Hawaii,2009
Idaho,2009
Illinois,2009
Indiana,2009
Iowa,2009
Kansas,2009
Kentucky,2009
Louisiana,2009
Maine,2009
Maryland,2009
Massachusetts,2009
Michigan,2009
Minnesota,2009
Mississippi,2009
Missouri,2009
Montana,2009
Nebraska,2009
Nevada,2009
New Hampshire,2009
New Jersey,2009
New Mexico,2009
New York,2009
North Carolina,2009
North Dakota,2009
Ohio,2009
Oklahoma,2009
Oregon,2009
Pennsylvania,2009
Rhode Island,2009
South Carolina,2009
South Dakota,2009
Tennessee,2009
Texas,2009
Utah,2009
Vermont,2009
Virginia,2009
Washington,2009
West Virginia,2009
Wisconsin,2009
Wyoming,2009
Alabama,2010
Alaska,2010
Arizona,2010
Arkansas,2010
California,2010
Colorado,2010
Connecticut,2010
Delaware,2010
Florida,2010
Georgia,2010
Hawaii,2010
Idaho,2010
Illinois,2010
Indiana,2010
Iowa,2010
Kansas,2010
Kentucky,2010
Louisiana,2010
Maine,2010
Maryland,2010
Massachusetts,2010
Michigan,2010
Minnesota,2010
Mississippi,2010
Missouri,2010
Montana,2010
Nebraska,2010
Nevada,2010
New Hampshire,2010
New Jersey,2010
New Mexico,2010
New York,2010
North Carolina,2010
North Dakota,2010
Ohio,2010
Oklahoma,2010
Oregon,2010
Pennsylvania,2010
Rhode Island,2010
South Carolina,2010
South Dakota,2010
Tennessee,2010
Texas,2010
Utah,2010
Vermont,2010
Virginia,2010
Washington,2010
West Virginia,2010
Wisconsin,2010
Wyoming,2010
Alabama,2011
Alaska,2011
Arizona,2011
Arkansas,2011
California,2011
Colorado,2011
Connecticut,2011
Delaware,2011
Florida,2011
Georgia,2011
Hawaii,2011
Idaho,2011
Illinois,2011
Indiana,2011
Iowa,2011
Kansas,2011
Kentucky,2011
Louisiana,2011
Maine,2011
Maryland,2011
Massachusetts,2011
Michigan,2011
Minnesota,2011
Mississippi,2011
Missouri,2011
Montana,2011
Nebraska,2011
Nevada,2011
New Hampshire,2011
New Jersey,2011
New Mexico,2011
New York,2011
North Carolina,2011
North Dakota,2011
Ohio,2011
Oklahoma,2011
Oregon,2011
Pennsylvania,2011
Rhode Island,2011
South Carolina,2011
South Dakota,2011
Tennessee,2011
Texas,2011
Utah,2011
Vermont,2011
Virginia,2011
Washington,2011
West Virginia,2011
Wisconsin,2011
Wyoming,2011
Alabama,2012
Alaska,2012
Arizona,2012
Arkansas,2012
California,2012
Colorado,2012
Connecticut,2012
Delaware,2012
Florida,2012
Georgia,2012
Hawaii,2012
Idaho,2012
Illinois,2012
Indiana,2012
Iowa,2012
Kansas,2012
Kentucky,2012
Louisiana,2012
Maine,2012
Maryland,2012
Massachusetts,2012
Michigan,2012
Minnesota,2012
Mississippi,2012
Missouri,2012
Montana,2012
Nebraska,2012
Nevada,2012
New Hampshire,2012
New Jersey,2012
New Mexico,2012
New York,2012
North Carolina,2012
North Dakota,2012
Ohio,2012
Oklahoma,2012
Oregon,2012
Pennsylvania,2012
Rhode Island,2012
South Carolina,2012
South Dakota,2012
Tennessee,2012
Texas,2012
Utah,2012
Vermont,2012
Virginia,2012
Washington,2012
West Virginia,2012
Wisconsin,2012
Wyoming,2012
Alabama,2013
Alaska,2013
Arizona,2013
Arkansas,2013
California,2013
Colorado,2013
Connecticut,2013
Delaware,2013
Florida,2013
Georgia,2013
Hawaii,2013
Idaho,2013
Illinois,2013
Indiana,2013
Iowa,2013
Kansas,2013
Kentucky,2013
Louisiana,2013
Maine,2013
Maryland,2013
Massachusetts,2013
Michigan,2013
Minnesota,2013
Mississippi,2013
Missouri,2013
Montana,2013
Nebraska,2013
Nevada,2013
New Hampshire,2013
New Jersey,2013
New Mexico,2013
New York,2013
North Carolina,2013
North Dakota,2013
Ohio,2013
Oklahoma,2013
Oregon,2013
Pennsylvania,2013
Rhode Island,2013
South Carolina,2013
South Dakota,2013
Tennessee,2013
Texas,2013
Utah,2013
Vermont,2013
Virginia,2013
Washington,2013
West Virginia,2013
Wisconsin,2013
Wyoming,2013
Alabama,2014
Alaska,2014
Arizona,2014
Arkansas,2014
California,2014
Colorado,2014
Connecticut,2014
Delaware,2014
Florida,2014
Georgia,2014
Hawaii,2014
Idaho,2014
Illinois,2014
Indiana,2014
Iowa,2014
Kansas,2014
Kentucky,2014
Louisiana,2014
Maine,2014
Maryland,2014
Massachusetts,2014
Michigan,2014
Minnesota,2014
Mississippi,2014
Missouri,2014
Montana,2014
Nebraska,2014
Nevada,2014
New Hampshire,2014
New Jersey,2014
New Mexico,2014
New York,2014
North Carolina,2014
North Dakota,2014
Ohio,2014
Oklahoma,2014
Oregon,2014
Pennsylvania,2014
Rhode Island,2014
South Carolina,2014
South Dakota,2014
Tennessee,2014
Texas,2014
Utah,2014
Vermont,2014
Virginia,2014
Washington,2014
West Virginia,2014
Wisconsin,2014
Wyoming,2014
Alabama,2015
Alaska,2015
Arizona,2015
Arkansas,2015
California,2015
Colorado,2015
Connecticut,2015
Delaware,2015
Florida,2015
Georgia,2015
Hawaii,2015
Idaho,2015
Illinois,2015
Indiana,2015
Iowa,2015
Kansas,2015
Kentucky,2015
Louisiana,2015
Maine,2015
Maryland,2015
Massachusetts,2015
Michigan,2015
Minnesota,2015
Mississippi,2015
Missouri,2015
Montana,2015
Nebraska,2015
Nevada,2015
New Hampshire,2015
New Jersey,2015
New Mexico,2015
New York,2015
North Carolina,2015
North Dakota,2015
Ohio,2015
Oklahoma,2015
Oregon,2015
Pennsylvania,2015
Rhode Island,2015
South Carolina,2015
South Dakota,2015
Tennessee,2015
Texas,2015
Utah,2015
Vermont,2015
Virginia,2015
Washington,2015
West Virginia,2015
Wisconsin,2015
Wyoming,2015
Alabama,2016
Alaska,2016
Arizona,2016
Arkansas,2016
California,2016
Colorado,2016
Connecticut,2016
Delaware,2016
Florida,2016
Georgia,2016
Hawaii,2016
Idaho,2016
Illinois,2016
Indiana,2016
Iowa,2016
Kansas,2016
Kentucky,2016
Louisiana,2016
Maine,2016
Maryland,2016
Massachusetts,2016
Michigan,2016
Minnesota,2016
Mississippi,2016
Missouri,2016
Montana,2016
Nebraska,2016
Nevada,2016
New Hampshire,2016
New Jersey,2016
New Mexico,2016
New York,2016
North Carolina,2016
North Dakota,2016
Ohio,2016
Oklahoma,2016
Oregon,2016
Pennsylvania,2016
Rhode Island,2016
South Carolina,2016
South Dakota,2016
Tennessee,2016
Texas,2016
Utah,2016
Vermont,2016
Virginia,2016
Washington,2016
West Virginia,2016
Wisconsin,2016
Wyoming,2016
Alabama,2017
Alaska,2017
Arizona,2017
Arkansas,2017
California,2017
Colorado,2017
Connecticut,2017
Delaware,2017
Florida,2017
Georgia,2017
Hawaii,2017
Idaho,2017
Illinois,2017
Indiana,2017
Iowa,2017
Kansas,2017
Kentucky,2017
Louisiana,2017
Maine,2017
Maryland,2017
Massachusetts,2017
Michigan,2017
Minnesota,2017
Mississippi,2017
Missouri,2017
Montana,2017
Nebraska,2017
Nevada,2017
New Hampshire,2017
New Jersey,2017
New Mexico,2017
New York,2017
North Carolina,2017
North Dakota,2017
Ohio,2017
Oklahoma,2017
Oregon,2017
Pennsylvania,2017
Rhode Island,2017
South Carolina,2017
South Dakota,2017
Tennessee,2017
Texas,2017
Utah,2017
Vermont,2017
Virginia,2017
Washington,2017
West Virginia,2017
Wisconsin,2017
Wyoming,2017
Alabama,2018
Alaska,2018
Arizona,2018
Arkansas,2018
California,2018
Colorado,2018
Connecticut,2018
Delaware,2018
Florida,2018
Georgia,2018
Hawaii,2018
Idaho,2018
Illinois,2018
Indiana,2018
Iowa,2018
Kansas,2018
Kentucky,2018
Louisiana,2018
Maine,2018
Maryland,2018
Massachusetts,2018
Michigan,2018
Minnesota,2018
Mississippi,2018
Missouri,2018
Montana,2018
Nebraska,2018
Nevada,2018
New Hampshire,2018
New Jersey,2018
New Mexico,2018
New York,2018
North Carolina,2018
North Dakota,2018
Ohio,2018
Oklahoma,2018
Oregon,2018
Pennsylvania,2018
Rhode Island,2018
South Carolina,2018
South Dakota,2018
Tennessee,2018
Texas,2018
Utah,2018
Vermont,2018
Virginia,2018
Washington,2018
West Virginia,2018
Wisconsin,2018
Wyoming,2018
Alabama,2019
Alaska,2019
Arizona,2019
Arkansas,2019
California,2019
Colorado,2019
Connecticut,2019
Delaware,2019
Florida,2019
Georgia,2019
Hawaii,2019
Idaho,2019
Illinois,2019
Indiana,2019
Iowa,2019
Kansas,2019
Kentucky,2019
Louisiana,2019
Maine,2019
Maryland,2019
Massachusetts,2019
Michigan,2019
Minnesota,2019
Mississippi,2019
Missouri,2019
Montana,2019
Nebraska,2019
Nevada,2019
New Hampshire,2019
New Jersey,2019
New Mexico,2019
New York,2019
North Carolina,2019
North Dakota,2019
Ohio,2019
Oklahoma,2019
Oregon,2019
Pennsylvania,2019
Rhode Island,2019
South Carolina,2019
South Dakota,2019
Tennessee,2019
Texas,2019
Utah,2019
Vermont,2019
Virginia,2019
Washington,2019
West Virginia,2019
Wisconsin,2019
Wyoming,2019
Alabama,2020
Alaska,2020
Arizona,2020
Arkansas,2020
California,2020
Colorado,2020
Connecticut,2020
Delaware,2020
Florida,2020
Georgia,2020
Hawaii,2020
Idaho,2020
Illinois,2020
Indiana,2020
Iowa,2020
Kansas,2020
Kentucky,2020
Louisiana,2020
Maine,2020
Maryland,2020
Massachusetts,2020
Michigan,2020
Minnesota,2020
Mississippi,2020
Missouri,2020
Montana,2020
Nebraska,2020
Nevada,2020
New Hampshire,2020
New Jersey,2020
New Mexico,2020
New York,2020
North Carolina,2020
North Dakota,2020
Ohio,2020
Oklahoma,2020
Oregon,2020
Pennsylvania,2020
Rhode Island,2020
South Carolina,2020
South Dakota,2020
Tennessee,2020
Texas,2020
Utah,2020
Vermont,2020
Virginia,2020
Washington,2020
West Virginia,2020
Wisconsin,2020
Wyoming,2020
Alabama,2021
Alaska,2021
Arizona,2021
Arkansas,2021
California,2021
Colorado,2021
Connecticut,2021
Delaware,2021
Florida,2021
Georgia,2021
Hawaii,2021
Idaho,2021
Illinois,2021
Indiana,2021
Iowa,2021
Kansas,2021
Kentucky,2021
Louisiana,2021
Maine,2021
Maryland,2021
Massachusetts,2021
Michigan,2021
Minnesota,2021
Mississippi,2021
Missouri,2021
Montana,2021
Nebraska,2021
Nevada,2021
New Hampshire,2021
New Jersey,2021
New Mexico,2021
New York,2021
North Carolina,2021
North Dakota,2021
Ohio,2021
Oklahoma,2021
Oregon,2021
Pennsylvania,2021
Rhode Island,2021
South Carolina,2021
South Dakota,2021
Tennessee,2021
Texas,2021
Utah,2021
Vermont,2021
Virginia,2021
Washington,2021
West Virginia,2021
Wisconsin,2021
Wyoming,2021
Alabama,2022
Alaska,2022
Arizona,2022
Arkansas,2022
California,2022
Colorado,2022
Connecticut,2022
Delaware,2022
Florida,2022
Georgia,2022
Hawaii,2022
Idaho,2022
Illinois,2022
Indiana,2022
Iowa,2022
Kansas,2022
Kentucky,2022
Louisiana,2022
Maine,2022
Maryland,2022
Massachusetts,2022
Michigan,2022
Minnesota,2022
Mississippi,2022
Missouri,2022
Montana,2022
Nebraska,2022
Nevada,2022
New Hampshire,2022
New Jersey,2022
New Mexico,2022
New York,2022
North Carolina,2022
North Dakota,2022
Ohio,2022
Oklahoma,2022
Oregon,2022
Pennsylvania,2022
Rhode Island,2022
South Carolina,2022
South Dakota,2022
Tennessee,2022
Texas,2022
Utah,2022
Vermont,2022
Virginia,2022
Washington,2022
West Virginia,2022
Wisconsin,2022
Wyoming,2022
Alabama,2023
Alaska,2023
Arizona,2023
Arkansas,2023
California,2023
Colorado,2023
Connecticut,2023
Delaware,2023
Florida,2023
Georgia,2023
Hawaii,2023
Idaho,2023
Illinois,2023
Indiana,2023
Iowa,2023
Kansas,2023
Kentucky,2023
Louisiana,2023
Maine,2023
Maryland,2023
Massachusetts,2023
Michigan,2023
Minnesota,2023
Mississippi,2023
Missouri,2023
Montana,2023
Nebraska,2023
Nevada,2023
New Hampshire,2023
New Jersey,2023
New Mexico,2023
New York,2023
North Carolina,2023
North Dakota,2023
Ohio,2023
Oklahoma,2023
Oregon,2023
Pennsylvania,2023
Rhode Island,2023
South Carolina,2023
South Dakota,2023
Tennessee,2023
Texas,2023
Utah,2023
Vermont,2023
Virginia,2023
Washington,2023
West Virginia,2023
Wisconsin,2023
Wyoming,2023